obs,action,reward,next_obs,done
"[-2.1, 1.4, 1.2, -1.0, 2.5, 0.8, 0.0, 0.0]",3,-3.2,"[-2.05, 1.38, 1.18, -1.02, 2.55, 0.82, 0.0, 0.0]",False
"[-1.2, 1.8, 0.3, -1.5, -15.0, 0.5, 0.0, 0.0]",1,-3.2,"[-1.25, 1.78, 0.28, -1.52, -15.5, 0.48, 0.0, 0.0]",False
"[-1.23, 1.45, 0.12, -2.34, -1.56, 0.89, 0.0, 0.0]",1,-3.2,"[-1.25, 1.43, -1.42, -2.38, -1.61, 0.95, 0.0, 0.0]",False
"[3.21, 1.67, 1.89, -1.78, 2.45, -1.23, 0.0, 0.0]",2,-3.4,"[3.23, 1.64, 1.71, -1.81, 2.4, -1.17, 0.0, 0.0]",False
"[-1.2, 1.8, 0.3, -1.2, 0.15, 0.08, 0.0, 0.0]",2,-3.5,"[-1.18, 1.75, 0.29, -1.25, 0.16, 0.09, 0.0, 0.0]",False
"[-1.8, 1.4, 0.6, -1.6, 0.8, 0.15, 0.0, 0.0]",0,-3.5,"[-1.82, 1.38, 0.62, -1.63, 0.8, 0.16, 0.0, 0.0]",False
"[0.5, 2.1, -1.1, -1.0, -1.2, -1.8, 0.0, 0.0]",1,-3.5,"[0.48, 2.04, -1.08, -1.05, -1.18, -1.75, 0.0, 0.0]",False
"[1.4, 1.9, 0.8, -1.0, 0.8, -1.1, 0.0, 0.0]",0,-3.8,"[1.4, 1.85, 0.79, -1.05, 0.8, -1.1, 0.0, 0.0]",False
"[1.1, 1.9, 0.9, -1.2, -1.1, -1.1, 0.0, 0.0]",1,-3.8,"[1.08, 1.88, 0.94, -1.23, -1.12, -1.14, 0.0, 0.0]",False
"[1.1, 1.7, -2.0, -1.6, 1.0, 1.5, 0.0, 0.0]",1,-3.8,"[1.08, 1.64, -1.98, -1.65, 1.02, 1.48, 0.0, 0.0]",False
"[-1.5, 1.0, 0.9, -1.4, -3.2, -1.8, 0.0, 0.0]",3,-3.8,"[-1.45, 0.95, 0.87, -1.42, -3.25, -1.82, 0.0, 0.0]",False
"[1.89, 2.34, -2.12, -1.45, -2.34, 1.23, 0.0, 0.0]",2,-3.8,"[1.91, 2.31, -1.94, -1.48, -2.31, 1.17, 0.0, 0.0]",False
"[0.9, 1.7, -2.5, -1.4, 5.0, 1.6, 0.0, 0.0]",2,-3.9,"[0.92, 1.68, -2.48, -1.42, 5.2, 1.58, 0.0, 0.0]",False
"[2.56, 3.45, -1.23, 0.12, 1.67, 0.34, 0.0, 0.0]",3,-3.9,"[2.54, 3.42, -1.41, 0.09, 1.62, 0.3, 0.0, 0.0]",False
"[1.45, -1.67, 2.34, -1.23, 0.89, -3.14, 0.0, 0.0]",1,-3.9,"[1.43, -1.65, 2.3, -1.26, 0.91, -3.18, 0.0, 0.0]",False
"[0.125, 0.461, -1.18, -1.01, 0.31, -1.21, 0.0, 0.0]",2,-2.5,"[0.123, 0.458, -1.22, -1.04, 0.29, -1.25, 0.0, 0.0]",False
"[0.123, 0.458, -1.22, -1.04, 0.29, -1.25, 0.0, 0.0]",3,-2.5,"[0.121, 0.455, -1.19, -1.07, 0.27, -1.28, 0.0, 0.0]",False
"[0.121, 0.455, -1.19, -1.07, 0.27, -1.28, 0.0, 0.0]",3,-2.6,"[0.119, 0.452, -1.16, -1.1, 0.25, -1.31, 0.0, 0.0]",False
"[0.119, 0.452, -1.16, -1.1, 0.25, -1.31, 0.0, 0.0]",2,-2.6,"[0.117, 0.449, -1.2, -1.13, 0.23, -1.35, 0.0, 0.0]",False
"[0.117, 0.449, -1.2, -1.13, 0.23, -1.35, 0.0, 0.0]",1,-2.6,"[0.115, 0.446, -1.24, -1.16, 0.21, -1.39, 0.0, 0.0]",False
"[0.125, 0.463, -0.141, -0.084, -3.94, -0.515, 0.0, 0.0]",2,-2.7,"[0.124, 0.461, -0.139, -0.078, -4.19, -0.527, 0.0, 0.0]",False
"[0.115, 0.446, -1.24, -1.16, 0.21, -1.39, 0.0, 0.0]",0,-2.7,"[0.113, 0.443, -1.24, -1.19, 0.19, -1.43, 0.0, 0.0]",False
"[0.113, 0.443, -1.24, -1.19, 0.19, -1.43, 0.0, 0.0]",2,-2.7,"[0.111, 0.44, -1.28, -1.22, 0.17, -1.47, 0.0, 0.0]",False
"[0.124, 0.461, -0.139, -0.078, -4.19, -0.527, 0.0, 0.0]",3,-2.8,"[0.122, 0.459, -0.127, -0.102, -4.43, -0.559, 0.0, 0.0]",False
"[0.111, 0.44, -1.28, -1.22, 0.17, -1.47, 0.0, 0.0]",3,-2.8,"[0.109, 0.437, -1.25, -1.25, 0.15, -1.5, 0.0, 0.0]",False
"[0.109, 0.437, -1.25, -1.25, 0.15, -1.5, 0.0, 0.0]",2,-2.8,"[0.107, 0.434, -1.29, -1.28, 0.13, -1.54, 0.0, 0.0]",False
"[0.125, 0.463, -0.141, -0.084, -0.394, -0.515, 0.0, 0.0]",1,-2.8,"[0.123, 0.461, -0.148, -0.105, -0.419, -0.478, 0.0, 0.0]",False
"[0.122, 0.459, -0.127, -0.102, -4.43, -0.559, 0.0, 0.0]",1,-2.9,"[0.121, 0.457, -0.137, -0.081, -4.67, -0.518, 0.0, 0.0]",False
"[0.107, 0.434, -1.29, -1.28, 0.13, -1.54, 0.0, 0.0]",1,-2.9,"[0.105, 0.431, -1.33, -1.31, 0.11, -1.58, 0.0, 0.0]",False
"[0.121, 0.457, -0.137, -0.081, -4.67, -0.518, 0.0, 0.0]",3,-3.0,"[0.119, 0.455, -0.124, -0.105, -4.91, -0.55, 0.0, 0.0]",False
"[0.119, 0.455, -0.124, -0.105, -4.91, -0.55, 0.0, 0.0]",2,-3.1,"[0.118, 0.453, -0.143, -0.093, -5.14, -0.562, 0.0, 0.0]",False
"[0.123, 0.461, -0.148, -0.105, -0.419, -0.478, 0.0, 0.0]",2,-3.1,"[0.121, 0.459, -0.152, -0.098, -0.443, -0.502, 0.0, 0.0]",False
"[0.118, 0.453, -0.143, -0.093, -5.14, -0.562, 0.0, 0.0]",0,-3.2,"[0.116, 0.451, -0.143, -0.119, -5.37, -0.562, 0.0, 0.0]",False
"[0.116, 0.451, -0.143, -0.119, -5.37, -0.562, 0.0, 0.0]",2,-3.3,"[0.115, 0.449, -0.13, -0.107, -5.6, -0.573, 0.0, 0.0]",False
"[0.115, 0.449, -0.13, -0.107, -5.6, -0.573, 0.0, 0.0]",1,-3.4,"[0.113, 0.447, -0.14, -0.094, -5.84, -0.532, 0.0, 0.0]",False
"[0.121, 0.459, -0.152, -0.098, -0.443, -0.502, 0.0, 0.0]",3,-3.4,"[0.119, 0.457, -0.145, -0.118, -0.466, -0.538, 0.0, 0.0]",False
"[0.113, 0.447, -0.14, -0.094, -5.84, -0.532, 0.0, 0.0]",3,-3.5,"[0.112, 0.445, -0.127, -0.117, -6.07, -0.564, 0.0, 0.0]",False
"[0.112, 0.445, -0.127, -0.117, -6.07, -0.564, 0.0, 0.0]",2,-3.6,"[0.11, 0.443, -0.146, -0.104, -6.3, -0.576, 0.0, 0.0]",False
"[0.119, 0.457, -0.145, -0.118, -0.466, -0.538, 0.0, 0.0]",2,-3.7,"[0.117, 0.455, -0.159, -0.102, -0.489, -0.511, 0.0, 0.0]",False
"[0.117, 0.455, -0.159, -0.102, -0.489, -0.511, 0.0, 0.0]",1,-4.0,"[0.115, 0.453, -0.166, -0.127, -0.513, -0.469, 0.0, 0.0]",False
"[0.115, 0.453, -0.166, -0.127, -0.513, -0.469, 0.0, 0.0]",0,-4.0,"[0.113, 0.451, -0.166, -0.127, -0.513, -0.469, 0.0, 0.0]",False
"[0.113, 0.451, -0.166, -0.127, -0.513, -0.469, 0.0, 0.0]",2,-4.3,"[0.111, 0.449, -0.17, -0.111, -0.536, -0.493, 0.0, 0.0]",False
"[0.111, 0.449, -0.17, -0.111, -0.536, -0.493, 0.0, 0.0]",3,-4.6,"[0.109, 0.447, -0.163, -0.134, -0.559, -0.529, 0.0, 0.0]",False
"[0.109, 0.447, -0.163, -0.134, -0.559, -0.529, 0.0, 0.0]",2,-4.9,"[0.107, 0.445, -0.177, -0.118, -0.582, -0.502, 0.0, 0.0]",False
"[0.125, 0.463, -0.141, -0.084, -0.394, -0.515, 0.0, 0.0]",1,-5.2,"[0.123, 0.461, -0.15, -0.109, -0.419, -0.478, 0.0, 0.0]",False
"[0.107, 0.445, -0.177, -0.118, -0.582, -0.502, 0.0, 0.0]",1,-5.2,"[0.105, 0.443, -0.184, -0.143, -0.606, -0.46, 0.0, 0.0]",False
"[0.123, 0.461, -0.15, -0.109, -0.419, -0.478, 0.0, 0.0]",2,-5.3,"[0.121, 0.459, -0.158, -0.107, -0.443, -0.492, 0.0, 0.0]",False
"[0.121, 0.459, -0.158, -0.107, -0.443, -0.492, 0.0, 0.0]",3,-5.4,"[0.119, 0.457, -0.146, -0.131, -0.466, -0.539, 0.0, 0.0]",False
"[0.119, 0.457, -0.146, -0.131, -0.466, -0.539, 0.0, 0.0]",2,-5.4,"[0.117, 0.455, -0.165, -0.129, -0.489, -0.553, 0.0, 0.0]",False
"[0.117, 0.455, -0.165, -0.129, -0.489, -0.553, 0.0, 0.0]",3,-5.5,"[0.115, 0.453, -0.153, -0.153, -0.512, -0.6, 0.0, 0.0]",False
"[0.115, 0.453, -0.153, -0.153, -0.512, -0.6, 0.0, 0.0]",1,-5.6,"[0.113, 0.451, -0.162, -0.178, -0.537, -0.563, 0.0, 0.0]",False
"[0.113, 0.451, -0.162, -0.178, -0.537, -0.563, 0.0, 0.0]",2,-5.6,"[0.111, 0.449, -0.171, -0.176, -0.561, -0.577, 0.0, 0.0]",False
"[0.111, 0.449, -0.171, -0.176, -0.561, -0.577, 0.0, 0.0]",0,-5.7,"[0.109, 0.447, -0.171, -0.201, -0.585, -0.577, 0.0, 0.0]",False
"[0.109, 0.447, -0.171, -0.201, -0.585, -0.577, 0.0, 0.0]",3,-5.8,"[0.107, 0.445, -0.159, -0.225, -0.608, -0.624, 0.0, 0.0]",False
"[0.107, 0.445, -0.159, -0.225, -0.608, -0.624, 0.0, 0.0]",2,-5.8,"[0.105, 0.443, -0.178, -0.223, -0.632, -0.638, 0.0, 0.0]",False
"[0.125, 0.463, -1.141, -8.084, -3.394, -5.15, 0.0, 0.0]",2,-10.5,"[0.123, 0.46, -1.148, -8.112, -3.419, -5.182, 0.0, 0.0]",False
"[0.123, 0.46, -1.148, -8.112, -3.419, -5.182, 0.0, 0.0]",1,-10.5,"[0.121, 0.457, -1.135, -8.14, -3.444, -5.21, 0.0, 0.0]",False
"[0.121, 0.457, -1.135, -8.14, -3.444, -5.21, 0.0, 0.0]",1,-10.5,"[0.119, 0.454, -1.122, -8.168, -3.469, -5.238, 0.0, 0.0]",False
"[0.119, 0.454, -1.122, -8.168, -3.469, -5.238, 0.0, 0.0]",0,-10.5,"[0.117, 0.451, -1.109, -8.196, -3.494, -5.266, 0.0, 0.0]",False
"[0.117, 0.451, -1.109, -8.196, -3.494, -5.266, 0.0, 0.0]",3,-10.5,"[0.115, 0.448, -1.122, -8.224, -3.519, -5.294, 0.0, 0.0]",False
"[0.115, 0.448, -1.122, -8.224, -3.519, -5.294, 0.0, 0.0]",2,-10.5,"[0.113, 0.445, -1.135, -8.252, -3.544, -5.322, 0.0, 0.0]",False
"[0.113, 0.445, -1.135, -8.252, -3.544, -5.322, 0.0, 0.0]",3,-10.5,"[0.111, 0.442, -1.148, -8.28, -3.569, -5.35, 0.0, 0.0]",False
"[0.111, 0.442, -1.148, -8.28, -3.569, -5.35, 0.0, 0.0]",1,-10.5,"[0.109, 0.439, -1.135, -8.308, -3.594, -5.378, 0.0, 0.0]",False
"[0.109, 0.439, -1.135, -8.308, -3.594, -5.378, 0.0, 0.0]",0,-10.5,"[0.107, 0.436, -1.122, -8.336, -3.619, -5.406, 0.0, 0.0]",False
"[0.107, 0.436, -1.122, -8.336, -3.619, -5.406, 0.0, 0.0]",2,-10.5,"[0.105, 0.433, -1.135, -8.364, -3.644, -5.434, 0.0, 0.0]",False
"[0.352, 1.166, -1.1, -1.2, 0.6, -1.0, 0.0, 0.0]",3,-1.2,"[0.35, 1.164, -1.09, -1.21, 0.61, -1.05, 0.0, 0.0]",False
"[0.347, 1.16, -1.14, -1.18, 0.62, -1.02, 0.0, 0.0]",3,-1.2,"[0.344, 1.156, -1.13, -1.2, 0.63, -1.07, 0.0, 0.0]",False
"[0.35, 1.164, -1.09, -1.21, 0.61, -1.05, 0.0, 0.0]",2,-1.3,"[0.347, 1.16, -1.14, -1.18, 0.62, -1.02, 0.0, 0.0]",False
"[0.342, 1.153, -1.18, -1.22, 0.64, -1.1, 0.0, 0.0]",2,-1.3,"[0.338, 1.149, -1.23, -1.19, 0.65, -1.08, 0.0, 0.0]",False
"[0.338, 1.149, -1.23, -1.19, 0.65, -1.08, 0.0, 0.0]",3,-1.3,"[0.335, 1.145, -1.22, -1.21, 0.66, -1.11, 0.0, 0.0]",False
"[0.344, 1.156, -1.13, -1.2, 0.63, -1.07, 0.0, 0.0]",1,-1.4,"[0.342, 1.153, -1.18, -1.22, 0.64, -1.1, 0.0, 0.0]",False
"[0.335, 1.145, -1.22, -1.21, 0.66, -1.11, 0.0, 0.0]",2,-1.4,"[0.331, 1.141, -1.27, -1.18, 0.67, -1.09, 0.0, 0.0]",False
"[0.328, 1.137, -1.32, -1.2, 0.68, -1.12, 0.0, 0.0]",3,-1.4,"[0.325, 1.133, -1.31, -1.22, 0.69, -1.15, 0.0, 0.0]",False
"[0.331, 1.141, -1.27, -1.18, 0.67, -1.09, 0.0, 0.0]",1,-1.5,"[0.328, 1.137, -1.32, -1.2, 0.68, -1.12, 0.0, 0.0]",False
"[0.325, 1.133, -1.31, -1.22, 0.69, -1.15, 0.0, 0.0]",2,-1.5,"[0.321, 1.129, -1.36, -1.19, 0.7, -1.13, 0.0, 0.0]",False
"[0.352, 1.166, -1.04, -1.2, 0.63, -1.5, 0.0, 0.0]",2,-2.1,"[0.348, 1.163, -1.08, -1.19, 0.62, -1.48, 0.0, 0.0]",False
"[0.348, 1.163, -1.08, -1.19, 0.62, -1.48, 0.0, 0.0]",3,-2.1,"[0.345, 1.16, -1.07, -1.21, 0.61, -1.52, 0.0, 0.0]",False
"[0.345, 1.16, -1.07, -1.21, 0.61, -1.52, 0.0, 0.0]",2,-2.1,"[0.341, 1.157, -1.11, -1.2, 0.6, -1.49, 0.0, 0.0]",False
"[0.341, 1.157, -1.11, -1.2, 0.6, -1.49, 0.0, 0.0]",3,-2.1,"[0.338, 1.154, -1.1, -1.22, 0.59, -1.53, 0.0, 0.0]",False
"[0.338, 1.154, -1.1, -1.22, 0.59, -1.53, 0.0, 0.0]",2,-2.1,"[0.334, 1.151, -1.14, -1.21, 0.58, -1.5, 0.0, 0.0]",False
"[0.334, 1.151, -1.14, -1.21, 0.58, -1.5, 0.0, 0.0]",3,-2.1,"[0.331, 1.148, -1.13, -1.23, 0.57, -1.54, 0.0, 0.0]",False
"[0.331, 1.148, -1.13, -1.23, 0.57, -1.54, 0.0, 0.0]",2,-2.1,"[0.327, 1.145, -1.17, -1.22, 0.56, -1.51, 0.0, 0.0]",False
"[0.327, 1.145, -1.17, -1.22, 0.56, -1.51, 0.0, 0.0]",3,-2.1,"[0.324, 1.142, -1.16, -1.24, 0.55, -1.55, 0.0, 0.0]",False
"[0.324, 1.142, -1.16, -1.24, 0.55, -1.55, 0.0, 0.0]",2,-2.1,"[0.32, 1.139, -1.2, -1.23, 0.54, -1.52, 0.0, 0.0]",False
"[0.32, 1.139, -1.2, -1.23, 0.54, -1.52, 0.0, 0.0]",3,-2.1,"[0.317, 1.136, -1.19, -1.25, 0.53, -1.56, 0.0, 0.0]",False
"[0.352, 1.166, -1.715, -1.86, 0.659, -5.25, 0.0, 0.0]",3,-2.1,"[0.348, 1.162, -1.708, -1.882, 0.643, -5.297, 0.0, 0.0]",False
"[0.348, 1.162, -1.708, -1.882, 0.643, -5.297, 0.0, 0.0]",2,-2.2,"[0.342, 1.157, -1.752, -1.873, 0.626, -5.28, 0.0, 0.0]",False
"[0.342, 1.157, -1.752, -1.873, 0.626, -5.28, 0.0, 0.0]",3,-2.3,"[0.338, 1.152, -1.745, -1.895, 0.609, -5.327, 0.0, 0.0]",False
"[0.333, 1.147, -1.738, -1.917, 0.592, -5.374, 0.0, 0.0]",2,-2.3,"[0.327, 1.142, -1.782, -1.908, 0.575, -5.357, 0.0, 0.0]",False
"[0.338, 1.152, -1.745, -1.895, 0.609, -5.327, 0.0, 0.0]",3,-2.4,"[0.333, 1.147, -1.738, -1.917, 0.592, -5.374, 0.0, 0.0]",False
"[0.327, 1.142, -1.782, -1.908, 0.575, -5.357, 0.0, 0.0]",2,-2.4,"[0.321, 1.137, -1.827, -1.899, 0.558, -5.34, 0.0, 0.0]",False
"[0.321, 1.137, -1.827, -1.899, 0.558, -5.34, 0.0, 0.0]",3,-2.5,"[0.316, 1.132, -1.82, -1.921, 0.541, -5.387, 0.0, 0.0]",False
"[0.316, 1.132, -1.82, -1.921, 0.541, -5.387, 0.0, 0.0]",2,-2.5,"[0.31, 1.127, -1.865, -1.912, 0.524, -5.37, 0.0, 0.0]",False
"[0.352, 1.166, -1.715, -1.86, 0.659, -5.25, 0.0, 0.0]",2,-2.5,"[0.348, 1.163, -1.746, -1.854, 0.651, -5.298, 0.0, 0.0]",False
"[0.348, 1.163, -1.746, -1.854, 0.651, -5.298, 0.0, 0.0]",3,-2.5,"[0.345, 1.161, -1.74, -1.876, 0.641, -5.342, 0.0, 0.0]",False
"[0.31, 1.127, -1.865, -1.912, 0.524, -5.37, 0.0, 0.0]",3,-2.6,"[0.305, 1.122, -1.858, -1.934, 0.507, -5.417, 0.0, 0.0]",False
"[0.345, 1.161, -1.74, -1.876, 0.641, -5.342, 0.0, 0.0]",3,-2.6,"[0.342, 1.158, -1.735, -1.898, 0.631, -5.385, 0.0, 0.0]",False
"[0.342, 1.158, -1.735, -1.898, 0.631, -5.385, 0.0, 0.0]",2,-2.6,"[0.338, 1.155, -1.766, -1.892, 0.623, -5.433, 0.0, 0.0]",False
"[0.305, 1.122, -1.858, -1.934, 0.507, -5.417, 0.0, 0.0]",3,-2.7,"[0.3, 1.117, -1.851, -1.956, 0.49, -5.464, 0.0, 0.0]",False
"[0.338, 1.155, -1.766, -1.892, 0.623, -5.433, 0.0, 0.0]",3,-2.7,"[0.335, 1.152, -1.761, -1.914, 0.613, -5.476, 0.0, 0.0]",False
"[0.335, 1.152, -1.761, -1.914, 0.613, -5.476, 0.0, 0.0]",2,-2.7,"[0.331, 1.149, -1.792, -1.908, 0.605, -5.524, 0.0, 0.0]",False
"[0.331, 1.149, -1.792, -1.908, 0.605, -5.524, 0.0, 0.0]",3,-2.8,"[0.328, 1.146, -1.787, -1.93, 0.595, -5.567, 0.0, 0.0]",False
"[0.328, 1.146, -1.787, -1.93, 0.595, -5.567, 0.0, 0.0]",3,-2.8,"[0.325, 1.143, -1.782, -1.952, 0.585, -5.61, 0.0, 0.0]",False
"[0.352, 1.166, -1.715, -1.186, 0.659, -5.25, 0.0, 0.0]",3,-2.8,"[0.345, 1.161, -1.707, -1.208, 0.64, -5.75, 0.0, 0.0]",False
"[0.325, 1.143, -1.782, -1.952, 0.585, -5.61, 0.0, 0.0]",2,-2.9,"[0.321, 1.14, -1.813, -1.946, 0.577, -5.658, 0.0, 0.0]",False
"[0.321, 1.14, -1.813, -1.946, 0.577, -5.658, 0.0, 0.0]",3,-2.9,"[0.318, 1.137, -1.808, -1.968, 0.567, -5.701, 0.0, 0.0]",False
"[0.345, 1.161, -1.707, -1.208, 0.64, -5.75, 0.0, 0.0]",2,-2.9,"[0.337, 1.156, -1.752, -1.199, 0.621, -5.72, 0.0, 0.0]",False
"[0.337, 1.156, -1.752, -1.199, 0.621, -5.72, 0.0, 0.0]",3,-2.9,"[0.328, 1.15, -1.743, -1.221, 0.601, -6.17, 0.0, 0.0]",False
"[0.328, 1.15, -1.743, -1.221, 0.601, -6.17, 0.0, 0.0]",3,-3.0,"[0.319, 1.144, -1.735, -1.243, 0.58, -6.62, 0.0, 0.0]",False
"[0.319, 1.144, -1.735, -1.243, 0.58, -6.62, 0.0, 0.0]",2,-3.0,"[0.31, 1.138, -1.78, -1.234, 0.56, -6.59, 0.0, 0.0]",False
"[0.31, 1.138, -1.78, -1.234, 0.56, -6.59, 0.0, 0.0]",3,-3.0,"[0.3, 1.131, -1.771, -1.256, 0.538, -7.04, 0.0, 0.0]",False
"[0.3, 1.131, -1.771, -1.256, 0.538, -7.04, 0.0, 0.0]",2,-3.1,"[0.29, 1.124, -1.817, -1.247, 0.517, -6.99, 0.0, 0.0]",False
"[0.29, 1.124, -1.817, -1.247, 0.517, -6.99, 0.0, 0.0]",3,-3.1,"[0.279, 1.117, -1.808, -1.269, 0.494, -7.44, 0.0, 0.0]",False
"[0.279, 1.117, -1.808, -1.269, 0.494, -7.44, 0.0, 0.0]",3,-3.2,"[0.268, 1.109, -1.799, -1.291, 0.471, -7.89, 0.0, 0.0]",False
